batch_id,split,anomaly_type,total_duration_min,final_conversion_pct,time_to_endpoint_min,raw_material_purity_coa
1,train,NONE,330,100.0,224.0,98.887
2,train,NONE,330,100.0,224.0,98.07
3,train,NONE,330,100.0,213.0,97.967
4,train,NONE,330,100.0,224.0,97.42
5,train,NONE,330,100.0,224.0,99.063
6,train,COOLING_SPIKE,330,100.0,224.0,100.494
7,train,NONE,330,100.0,224.0,99.634
8,train,NONE,330,100.0,216.0,97.151
9,train,FEED_PAUSE,330,100.0,224.0,97.93
10,train,NONE,330,100.0,210.0,97.561
11,train,NONE,330,100.0,224.0,97.703
12,train,NONE,330,100.0,224.0,99.322
13,train,NONE,330,100.0,219.0,97.742
14,train,SURFACE_FOAMING,330,100.0,213.0,99.302
15,train,NONE,330,100.0,213.0,100.379
16,train,NONE,330,100.0,224.0,99.236
17,train,NONE,330,100.0,224.0,99.315
18,train,NONE,330,100.0,224.0,97.019
19,train,NONE,330,100.0,220.0,97.364
20,train,NONE,330,100.0,224.0,99.595
21,train,NONE,330,100.0,210.0,99.32
22,train,NONE,330,100.0,203.0,98.232
23,train,FEED_PAUSE,330,100.0,224.0,98.736
24,train,NONE,330,100.0,220.0,100.017
25,train,NONE,330,100.0,224.0,99.032
26,train,NONE,330,100.0,224.0,99.057
27,train,SURFACE_FOAMING,330,100.0,224.0,100.472
28,train,NONE,330,100.0,224.0,100.477
29,train,SURFACE_FOAMING,330,100.0,224.0,99.638
30,train,NONE,330,100.0,224.0,97.49
31,train,NONE,330,100.0,208.0,99.322
32,train,NONE,330,100.0,214.0,97.608
33,train,NONE,330,100.0,224.0,97.612
34,train,NONE,330,100.0,224.0,97.046
35,train,NONE,330,100.0,224.0,100.476
36,train,FEED_PAUSE,330,100.0,224.0,98.837
37,train,NONE,330,100.0,224.0,100.247
38,train,FEED_PAUSE,330,100.0,222.0,99.528
39,train,NONE,330,100.0,214.0,98.876
40,train,NONE,330,100.0,204.0,99.425
41,train,NONE,330,100.0,215.0,100.11
42,train,NONE,330,100.0,224.0,97.977
43,train,NONE,330,100.0,224.0,100.284
44,train,NONE,330,100.0,224.0,97.491
45,train,NONE,330,100.0,224.0,100.15
46,train,NONE,330,100.0,224.0,98.839
47,train,NONE,330,100.0,204.0,97.892
48,train,NONE,330,100.0,224.0,98.196
49,train,NONE,330,100.0,224.0,100.44
50,train,NONE,330,100.0,214.0,98.463
51,train,NONE,330,100.0,224.0,99.335
52,train,NONE,330,100.0,212.0,99.485
53,train,NONE,330,100.0,212.0,100.236
54,train,COOLING_SPIKE,330,100.0,224.0,99.185
55,train,NONE,330,100.0,217.0,99.062
56,train,NONE,330,100.0,204.0,98.348
57,train,NONE,330,100.0,224.0,100.396
58,train,NONE,330,100.0,224.0,99.09
59,train,NONE,330,100.0,215.0,97.381
60,train,NONE,330,100.0,203.0,100.497
61,train,SURFACE_FOAMING,330,100.0,209.0,99.836
62,train,COOLING_SPIKE,330,100.0,216.0,97.322
63,train,NONE,330,100.0,224.0,100.138
64,train,NONE,330,100.0,224.0,99.144
65,train,NONE,330,100.0,224.0,98.601
66,train,NONE,330,100.0,213.0,99.318
67,train,COOLING_SPIKE,330,100.0,224.0,98.727
68,train,NONE,330,100.0,222.0,97.719
69,train,NONE,330,100.0,202.0,97.581
70,train,SURFACE_FOAMING,330,100.0,224.0,99.61
71,train,NONE,330,100.0,224.0,98.77
72,train,NONE,330,100.0,224.0,99.485
73,train,NONE,330,100.0,208.0,99.087
74,train,NONE,330,100.0,224.0,99.33
75,train,NONE,330,100.0,224.0,100.199
76,train,NONE,330,100.0,213.0,97.3
77,train,NONE,330,100.0,215.0,98.895
78,train,NONE,330,100.0,224.0,98.547
79,train,COOLING_SPIKE,330,100.0,210.0,99.465
80,train,NONE,330,100.0,224.0,99.137
81,train,NONE,330,100.0,224.0,98.218
82,train,NONE,330,100.0,208.0,99.758
83,train,NONE,330,100.0,217.0,97.851
84,train,NONE,330,100.0,204.0,99.32
85,test,COOLING_SPIKE,330,100.0,215.0,97.564
86,test,NONE,330,100.0,221.0,98.833
87,test,COMPOUND_CASCADE,330,100.0,223.0,98.404
88,test,NONE,330,100.0,224.0,100.269
89,test,NONE,330,100.0,204.0,98.211
90,test,COMPOUND_FOAM_COOLING,330,100.0,203.0,97.596
91,test,NONE,330,100.0,221.0,97.006
92,test,COMPOUND_FOAM_COOLING,330,100.0,224.0,100.273
93,test,SENSOR_DRIFT,330,100.0,224.0,97.186
