batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
18,0,98.825,56.1,18.4,37.7,594.2,6.06,0.0,17.787,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,1,98.825,58.2,18.3,39.9,590.6,6.68,0.02,18.868,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,2,98.825,60.2,18.2,42.0,591.2,7.15,0.03,19.782,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,3,98.825,61.8,18.3,43.5,591.0,7.57,0.01,20.563,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,4,98.825,63.2,18.2,45.0,595.5,7.95,0.03,21.245,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,5,98.825,64.4,18.1,46.3,599.0,8.21,0.02,21.877,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,6,98.825,65.5,18.2,47.3,597.9,8.49,0.03,22.317,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,7,98.825,66.4,18.2,48.2,599.4,8.73,0.0,22.714,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,8,98.825,67.2,18.2,49.0,598.1,8.9,0.04,23.055,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,9,98.825,67.9,18.2,49.7,601.1,9.02,0.03,23.315,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,10,98.825,68.5,18.1,50.4,601.1,9.11,0.0,23.609,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,11,98.825,69.0,18.1,50.9,596.0,9.24,0.08,23.8,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,12,98.825,69.5,18.3,51.2,595.0,9.33,0.07,23.977,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,13,98.825,69.9,18.3,51.6,593.4,9.45,0.06,24.17,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,14,98.825,70.0,18.4,51.6,590.5,9.56,0.08,24.271,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,15,98.825,70.3,18.3,52.0,589.9,9.62,0.0,24.417,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,16,98.825,70.4,18.4,52.0,591.2,9.73,0.0,24.472,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,17,98.825,70.5,18.4,52.1,589.5,9.66,0.0,24.583,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,18,98.825,70.7,18.6,52.1,587.5,9.7,0.02,24.606,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,19,98.825,70.8,18.5,52.3,589.0,9.78,0.08,24.704,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,20,98.825,70.7,18.6,52.1,590.2,9.84,0.06,24.723,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,21,98.825,71.0,18.7,52.3,587.8,9.83,0.07,24.756,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,22,98.825,71.0,18.6,52.4,586.8,9.89,3.03,24.831,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,23,98.825,79.2,18.6,60.6,584.2,18.29,2.83,28.667,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,24,98.825,89.6,16.6,73.0,584.9,16.97,2.29,34.557,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,25,98.825,96.9,16.6,80.3,588.8,15.93,1.45,37.986,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,26,98.825,100.2,16.6,83.6,590.5,15.09,1.34,39.573,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,27,98.825,102.9,16.4,86.5,593.9,14.34,1.38,40.933,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,28,98.825,105.6,16.3,89.3,595.4,13.69,1.33,42.143,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,29,98.825,108.1,16.5,91.6,598.9,13.12,1.28,43.283,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,30,98.825,110.5,16.5,94.0,599.8,12.66,1.27,44.437,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,31,98.825,112.8,16.6,96.2,599.8,12.24,1.3,45.461,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,32,98.825,114.8,16.7,98.1,601.2,11.89,1.34,46.418,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,33,98.825,114.8,16.8,98.0,604.5,11.57,1.35,46.41,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,34,98.825,114.8,16.9,97.9,604.5,11.36,1.3,46.399,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,35,98.825,114.8,16.9,97.9,601.4,11.14,1.35,46.402,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,36,98.825,114.7,17.0,97.7,604.6,10.95,1.35,46.428,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,37,98.825,114.7,17.0,97.7,604.1,10.83,1.36,46.414,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,38,98.825,114.8,17.1,97.7,604.4,10.76,1.37,46.412,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,39,98.825,114.9,17.2,97.7,604.3,10.63,1.31,46.419,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,40,98.825,114.9,17.3,97.6,603.7,10.48,1.34,46.421,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,41,98.825,115.0,17.3,97.7,607.4,10.42,1.3,46.421,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,42,98.825,115.0,17.1,97.9,609.7,10.38,1.31,46.435,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,43,98.825,114.9,17.0,97.9,606.0,10.3,1.33,46.474,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,44,98.825,114.9,17.1,97.8,607.5,10.25,1.33,46.42,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,45,98.825,115.1,17.0,98.1,608.2,10.2,1.27,46.428,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,46,98.825,114.9,16.9,98.0,609.4,10.12,1.29,46.476,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,47,98.825,114.9,16.8,98.1,616.6,10.1,1.33,46.467,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,48,98.825,114.9,16.9,98.0,618.3,10.08,1.3,46.481,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,49,98.825,114.8,17.0,97.8,617.7,9.99,1.33,46.513,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,50,98.825,114.9,16.9,98.0,617.2,10.01,1.3,46.536,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,51,98.825,114.9,16.7,98.2,616.5,10.01,1.29,46.524,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,52,98.825,114.9,16.9,98.0,617.9,9.99,1.34,46.483,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,53,98.825,114.8,16.8,98.0,619.7,10.03,1.31,46.526,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,54,98.825,114.8,16.8,98.0,620.2,10.0,1.29,46.502,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,55,98.825,114.7,16.9,97.8,620.1,10.03,1.34,46.524,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,56,98.825,114.8,16.8,98.0,621.3,9.96,1.31,46.501,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,57,98.825,114.8,16.9,97.9,625.6,9.95,1.32,46.513,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,58,98.825,114.8,16.8,98.0,630.2,9.93,1.32,46.533,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,59,98.825,114.8,16.7,98.1,629.7,9.93,1.39,46.578,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,60,98.825,114.8,16.7,98.1,626.0,9.97,1.38,46.597,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,61,98.825,114.9,16.9,98.0,624.5,9.93,1.35,46.554,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,62,98.825,114.7,16.8,97.9,625.6,9.95,1.31,46.593,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,63,98.825,114.7,16.7,98.0,625.1,9.9,1.31,46.616,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,64,98.825,114.9,16.9,98.0,621.5,9.92,1.35,46.632,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,65,98.825,114.8,16.8,98.0,624.8,9.91,1.32,46.608,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,66,98.825,114.7,16.9,97.8,624.7,9.88,1.36,46.613,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,67,98.825,114.7,17.0,97.7,625.9,9.89,1.47,46.628,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,68,98.825,114.6,16.8,97.8,626.4,9.86,1.44,46.64,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,69,98.825,114.6,16.8,97.8,630.2,9.84,1.38,46.607,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,70,98.825,114.5,16.9,97.6,632.8,9.92,1.36,46.618,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,71,98.825,114.4,16.8,97.6,636.1,9.94,1.34,46.657,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
18,72,98.825,114.4,16.9,97.5,631.7,9.93,1.34,46.629,Feed pause executed mid-batch. Pressure held; operators verified purge/vent OK.,FEED_PAUSE
