batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
72,0,98.536,54.8,17.6,37.2,594.2,5.81,0.0,17.575,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,1,98.536,57.1,17.8,39.3,598.2,6.47,0.01,18.638,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,2,98.536,59.1,17.7,41.4,601.3,6.97,0.04,19.569,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,3,98.536,60.8,17.6,43.2,601.5,7.43,0.02,20.375,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,4,98.536,62.2,17.7,44.5,599.1,7.78,0.02,21.03,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,5,98.536,63.5,17.7,45.8,599.0,8.11,0.08,21.635,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,6,98.536,64.5,18.0,46.5,595.2,8.42,0.03,22.097,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,7,98.536,65.4,18.0,47.4,594.4,8.63,0.01,22.54,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,8,98.536,66.1,17.8,48.3,595.6,8.81,0.0,22.911,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,9,98.536,66.6,18.1,48.5,597.9,9.0,0.0,23.16,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,10,98.536,67.2,18.2,49.0,597.6,9.15,0.0,23.463,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,11,98.536,67.6,18.3,49.3,594.7,9.25,0.0,23.635,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,12,98.536,68.0,18.4,49.6,594.2,9.43,0.0,23.83,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,13,98.536,68.2,18.5,49.7,594.3,9.52,0.0,23.999,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,14,98.536,68.4,18.4,50.0,595.4,9.63,0.0,24.133,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,15,98.536,68.7,18.4,50.3,593.2,9.64,0.0,24.226,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,16,98.536,69.0,18.6,50.4,589.6,9.7,0.0,24.302,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,17,98.536,69.2,18.3,50.9,590.6,9.78,0.0,24.414,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,18,98.536,69.4,18.4,51.0,591.2,9.8,0.0,24.45,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,19,98.536,69.5,18.4,51.1,588.1,9.87,0.0,24.524,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,20,98.536,69.5,18.3,51.2,591.0,9.88,0.0,24.638,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,21,98.536,69.5,18.2,51.3,588.8,9.92,3.0,24.603,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,22,98.536,77.6,18.1,59.5,594.8,19.97,2.68,28.315,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,23,98.536,88.5,15.6,72.9,598.4,18.57,2.16,34.434,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,24,98.536,96.0,15.7,80.3,597.4,17.34,1.4,37.966,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,25,98.536,99.4,15.6,83.8,600.0,16.25,1.36,39.587,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,26,98.536,102.3,15.4,86.9,598.9,15.31,1.38,40.951,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,27,98.536,105.0,15.6,89.4,603.3,14.5,1.42,42.24,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,28,98.536,107.6,15.6,92.0,603.0,13.86,1.36,43.509,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,29,98.536,110.2,15.4,94.8,604.2,13.34,1.4,44.657,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,30,98.536,112.6,15.5,97.1,610.2,12.85,1.42,45.828,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,31,98.536,114.6,15.7,98.9,610.0,12.41,1.44,46.763,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,32,98.536,114.6,15.9,98.7,612.0,12.03,1.48,46.723,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,33,98.536,114.6,15.8,98.8,609.6,11.81,1.49,46.77,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,34,98.536,114.6,15.7,98.9,609.3,11.52,1.44,46.79,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,35,98.536,114.8,15.8,99.0,605.6,11.34,1.46,46.754,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,36,98.536,114.9,15.8,99.1,605.9,11.19,1.43,46.721,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,37,98.536,114.9,15.6,99.3,610.8,11.01,1.44,46.782,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,38,98.536,114.8,15.6,99.2,611.9,10.82,1.42,46.813,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,39,98.536,115.0,15.7,99.3,612.4,10.72,1.35,46.782,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,40,98.536,114.9,15.8,99.1,615.9,10.58,1.41,46.766,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,41,98.536,115.0,15.8,99.2,616.6,10.45,1.45,46.774,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,42,98.536,114.9,15.5,99.4,617.1,10.35,1.46,46.839,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,43,98.536,115.0,15.5,99.5,619.3,10.34,1.45,46.809,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,44,98.536,114.8,15.4,99.4,617.7,10.29,1.41,46.774,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,45,98.536,114.8,15.3,99.5,624.1,10.29,1.42,46.828,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,46,98.536,114.9,15.3,99.6,626.0,10.29,1.42,46.835,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,47,98.536,114.8,15.3,99.5,627.3,10.23,1.44,46.849,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,48,98.536,114.8,15.3,99.5,625.7,10.13,1.4,46.846,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,49,98.536,114.8,15.4,99.4,626.2,10.14,1.45,46.862,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,50,98.536,114.8,15.5,99.3,628.7,10.11,1.42,46.848,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,51,98.536,114.9,15.7,99.2,631.6,10.11,1.33,46.847,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,52,98.536,114.9,15.7,99.2,632.4,10.11,1.34,46.884,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,53,98.536,114.9,15.7,99.2,632.8,10.01,1.35,46.87,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,54,98.536,115.0,15.7,99.3,633.3,10.02,1.35,46.829,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,55,98.536,115.1,15.8,99.3,633.1,10.07,1.37,46.9,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,56,98.536,115.0,15.9,99.1,634.9,9.99,1.36,46.88,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,57,98.536,115.0,15.8,99.2,634.1,9.99,1.33,46.877,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,58,98.536,115.0,15.7,99.3,629.9,9.93,1.37,46.989,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,59,98.536,115.1,15.8,99.3,635.3,9.94,1.38,46.964,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,60,98.536,115.1,15.9,99.2,635.9,9.92,1.39,46.914,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,61,98.536,115.0,15.9,99.1,637.3,9.9,1.37,46.92,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,62,98.536,115.0,16.0,99.0,638.4,9.85,1.38,46.916,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,63,98.536,115.0,15.8,99.2,635.9,9.82,1.4,46.988,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,64,98.536,114.9,15.7,99.2,637.5,9.81,1.39,46.975,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,65,98.536,114.9,15.5,99.4,635.2,9.82,1.34,32.878,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,66,98.536,114.9,15.2,99.7,634.2,9.8,1.36,32.899,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,67,98.536,114.8,15.2,99.6,631.5,9.86,1.36,32.894,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,68,98.536,114.9,15.4,99.5,633.1,9.87,1.32,32.87,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,69,98.536,115.0,15.4,99.6,635.4,9.91,1.37,32.897,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,70,98.536,115.0,15.2,99.8,636.4,9.86,1.36,32.894,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,71,98.536,115.0,15.0,100.0,637.0,9.86,1.39,32.901,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,72,98.536,115.0,15.1,99.9,637.0,9.87,1.36,32.884,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,73,98.536,114.8,15.0,99.8,642.7,9.84,1.36,32.921,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,74,98.536,115.0,15.2,99.8,646.2,9.94,1.35,32.893,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,75,98.536,115.0,15.2,99.8,647.9,9.98,1.42,32.909,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,76,98.536,114.9,15.1,99.8,651.1,9.96,1.43,32.917,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,77,98.536,114.8,15.1,99.7,649.0,9.93,1.42,32.941,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,78,98.536,114.8,15.1,99.7,652.0,9.92,1.39,32.914,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,79,98.536,114.9,15.0,99.9,652.4,9.95,1.41,32.96,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,80,98.536,114.9,15.2,99.7,653.4,9.93,1.38,47.034,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,81,98.536,114.9,15.3,99.6,656.2,9.87,1.35,47.032,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,82,98.536,115.0,15.3,99.7,659.2,9.79,1.38,47.049,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,83,98.536,115.0,15.4,99.6,659.6,9.76,1.46,47.049,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,84,98.536,115.0,15.1,99.9,657.6,9.81,1.47,47.115,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,85,98.536,115.1,15.1,100.0,660.1,9.84,1.4,47.064,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,86,98.536,115.1,15.2,99.9,665.4,9.81,1.44,47.04,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,87,98.536,115.0,15.2,99.8,664.8,9.78,1.45,47.029,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
