batch_id,time_step_min,current_step_id,raw_material_purity_coa,vessel_weight_kg,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
74,0,1,99.33,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,,NONE
74,1,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,2,1,99.33,0.0,25.1,25.0,0.1,0.0,1.0,0.0,0.0,,NONE
74,3,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,4,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,5,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,6,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,7,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,8,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,9,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,10,1,99.33,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,,NONE
74,11,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,12,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,13,1,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,14,1,99.33,0.0,24.9,25.0,-0.1,0.0,1.0,0.0,0.0,,NONE
74,15,2,99.33,0.0,25.0,25.0,0.0,0.0,1.0,0.0,0.0,,NONE
74,16,2,99.33,88.6,24.9,25.2,-0.3,0.0,0.99,0.0,0.0,,NONE
74,17,2,99.33,177.2,25.0,25.2,-0.2,0.0,0.96,0.0,0.0,,NONE
74,18,2,99.33,265.8,25.0,25.1,-0.1,0.0,0.94,0.0,0.0,,NONE
74,19,2,99.33,354.5,25.0,25.2,-0.2,0.0,0.91,0.0,0.0,,NONE
