batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
80,0,100.326,56.4,20.6,35.8,594.2,6.19,0.0,16.868,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,1,100.326,58.8,20.5,38.3,599.2,6.78,0.0,18.045,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,2,100.326,60.8,20.6,40.2,597.4,7.27,0.0,19.064,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,3,100.326,62.6,20.6,42.0,598.6,7.69,0.0,19.879,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,4,100.326,64.0,20.5,43.5,601.2,8.04,0.0,20.604,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,5,100.326,65.3,20.4,44.9,597.9,8.35,0.0,21.237,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,6,100.326,66.4,20.7,45.7,598.5,8.55,0.0,21.674,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,7,100.326,67.4,20.5,46.9,596.9,8.75,0.01,22.198,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,8,100.326,68.1,20.7,47.4,591.7,8.9,0.0,22.504,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,9,100.326,68.8,20.7,48.1,591.6,9.03,0.0,22.872,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,10,100.326,69.5,21.0,48.5,590.4,9.17,0.0,23.088,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,11,100.326,70.0,21.1,48.9,589.9,9.33,0.0,23.355,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,12,100.326,70.5,21.1,49.4,591.6,9.43,0.0,23.546,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,13,100.326,70.8,21.0,49.8,592.9,9.56,0.0,23.699,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,14,100.326,71.1,20.8,50.3,588.7,9.64,0.0,23.904,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,15,100.326,71.5,21.0,50.5,586.7,9.67,0.0,24.03,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,16,100.326,71.8,21.2,50.6,584.4,9.66,0.05,24.017,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,17,100.326,71.9,21.1,50.8,587.8,9.72,0.11,24.16,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,18,100.326,72.1,21.0,51.1,588.8,9.77,0.09,24.271,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,19,100.326,72.1,21.1,51.0,590.7,9.87,0.07,24.308,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,20,100.326,72.4,21.3,51.1,588.4,9.9,0.09,24.322,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,21,100.326,72.4,21.3,51.1,587.0,9.86,3.31,24.379,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,22,100.326,82.2,21.4,60.8,595.0,16.87,3.03,29.057,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,23,100.326,93.7,19.4,74.3,596.4,15.86,2.02,35.453,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,24,100.326,100.2,19.4,80.8,598.7,15.01,1.39,38.524,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,25,100.326,103.4,19.5,83.9,599.8,14.28,1.41,40.04,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,26,100.326,106.5,19.6,86.9,602.0,13.68,1.37,41.507,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,27,100.326,109.6,19.6,90.0,600.7,13.13,1.41,42.917,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,28,100.326,112.5,19.7,92.8,604.0,12.59,1.4,44.305,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,29,100.326,114.8,19.7,95.1,604.5,12.22,1.38,45.312,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,30,100.326,114.7,19.3,95.4,606.7,11.93,1.39,45.361,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,31,100.326,114.7,19.3,95.4,611.0,11.65,1.41,45.362,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,32,100.326,114.5,19.3,95.2,612.5,11.37,1.37,45.365,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,33,100.326,114.6,19.3,95.3,606.7,11.15,1.37,45.339,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,34,100.326,114.7,19.3,95.4,610.4,10.99,1.34,45.365,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,35,100.326,114.8,19.3,95.5,612.7,10.87,1.38,45.364,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,36,100.326,114.7,19.2,95.5,608.4,10.75,1.37,45.345,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,37,100.326,114.7,19.2,95.5,608.8,10.6,1.36,45.366,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,38,100.326,114.6,19.4,95.2,611.0,10.48,1.36,45.361,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,39,100.326,114.6,19.5,95.1,609.8,10.38,1.33,45.361,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,40,100.326,114.7,19.4,95.3,611.3,10.3,1.33,45.345,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,41,100.326,114.7,19.3,95.4,612.9,10.23,1.35,45.368,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,42,100.326,114.8,19.2,95.6,617.4,10.17,1.37,45.393,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,43,100.326,114.8,19.5,95.3,619.8,10.1,1.35,45.361,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,44,100.326,114.7,19.4,95.3,622.2,10.04,1.34,45.406,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,45,100.326,114.8,19.5,95.3,623.7,10.0,1.43,45.411,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,46,100.326,114.7,19.7,95.0,622.8,10.0,1.45,45.382,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,47,100.326,114.7,19.6,95.1,627.4,9.98,1.46,45.388,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,48,100.326,114.8,19.4,95.4,629.5,9.97,1.46,45.423,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,49,100.326,114.8,19.3,95.5,633.6,9.99,1.47,45.423,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,50,100.326,114.8,19.1,95.7,634.4,9.98,1.45,45.501,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,51,100.326,114.9,19.5,95.4,632.3,9.98,1.48,45.434,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,52,100.326,114.9,19.5,95.4,631.6,9.95,1.47,45.443,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,53,100.326,114.9,19.6,95.3,634.0,9.99,1.44,45.395,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,54,100.326,114.9,19.4,95.5,635.5,9.95,1.45,45.475,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,55,100.326,114.8,19.4,95.4,635.8,9.91,1.4,45.482,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,56,100.326,114.9,19.6,95.3,637.2,9.87,1.41,45.468,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,57,100.326,114.9,19.4,95.5,636.6,9.85,1.41,45.495,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,58,100.326,115.0,19.3,95.7,633.6,9.89,1.47,45.512,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,59,100.326,114.9,19.1,95.8,633.5,9.89,1.49,45.513,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,60,100.326,114.9,19.2,95.7,635.2,9.92,1.5,45.5,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,61,100.326,114.9,19.2,95.7,633.1,9.99,1.52,45.493,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,62,100.326,115.0,19.1,95.9,634.8,10.0,1.47,45.519,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,63,100.326,115.0,19.1,95.9,635.6,9.98,1.48,45.569,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,64,100.326,115.0,19.2,95.8,636.5,10.01,1.52,45.519,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,65,100.326,114.9,19.2,95.7,636.8,10.02,1.56,45.548,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,66,100.326,115.0,19.2,95.8,636.9,9.99,1.57,45.559,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,67,100.326,114.9,19.3,95.6,637.9,10.01,1.59,45.522,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,68,100.326,114.8,19.3,95.5,639.6,10.01,1.51,45.595,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,69,100.326,114.8,19.4,95.4,636.2,9.99,1.48,45.61,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,70,100.326,114.8,19.5,95.3,640.7,9.96,1.5,45.567,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,71,100.326,114.8,19.5,95.3,641.1,9.93,1.46,45.571,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,72,100.326,114.8,19.5,95.3,645.2,9.91,1.48,45.596,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,73,100.326,114.8,19.4,95.4,646.6,9.92,1.37,31.906,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,74,100.326,114.8,19.3,95.5,646.6,9.86,1.42,31.947,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,75,100.326,114.8,19.2,95.6,651.8,9.83,1.43,31.917,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,76,100.326,114.7,19.2,95.5,652.7,9.83,1.47,31.931,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,77,100.326,114.7,19.2,95.5,654.3,9.82,1.4,31.934,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,78,100.326,114.7,18.9,95.8,654.2,9.85,1.43,31.971,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
