batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
116,0,97.722,55.0,19.6,35.4,594.2,6.13,0.0,16.718,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,1,97.722,57.6,19.4,38.2,595.2,6.72,0.02,17.928,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,2,97.722,59.8,19.3,40.5,594.0,7.21,0.07,18.942,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,3,97.722,61.7,19.2,42.5,598.2,7.66,0.06,19.885,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,4,97.722,63.3,19.0,44.3,599.2,8.03,0.05,20.591,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,5,97.722,64.7,18.8,45.9,603.1,8.28,0.03,21.305,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,6,97.722,65.8,18.9,46.9,603.2,8.52,0.0,21.808,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,7,97.722,66.7,19.0,47.7,605.1,8.68,0.0,22.272,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,8,97.722,67.8,19.1,48.7,603.3,8.86,0.0,22.69,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,9,97.722,68.5,19.1,49.4,606.5,8.98,0.0,22.989,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,10,97.722,69.1,19.0,50.1,609.2,9.07,0.0,23.306,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,11,97.722,69.8,19.0,50.8,608.0,9.21,0.0,23.531,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,12,97.722,70.3,19.1,51.2,602.8,9.3,0.0,23.758,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,13,97.722,70.6,18.9,51.7,603.0,9.37,0.0,23.931,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,14,97.722,70.9,19.2,51.7,603.4,9.39,0.0,24.001,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,15,97.722,71.1,19.2,51.9,602.2,9.56,0.0,24.237,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,16,97.722,71.3,19.4,51.9,602.8,9.55,0.0,24.259,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,17,97.722,71.5,19.4,52.1,602.8,9.59,0.02,24.377,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,18,97.722,71.7,19.8,51.9,599.7,9.66,0.0,24.432,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,19,97.722,71.7,19.6,52.1,600.4,9.69,0.0,24.511,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,20,97.722,72.0,19.7,52.3,597.8,9.74,0.04,24.58,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,21,97.722,72.0,19.5,52.5,599.3,9.78,0.03,24.655,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,22,97.722,72.2,19.5,52.7,599.6,9.8,3.18,24.682,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,23,97.722,81.7,19.5,62.2,602.7,16.54,2.92,29.126,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,24,97.722,92.9,17.5,75.4,600.8,15.56,2.07,35.393,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,25,97.722,99.6,17.5,82.1,598.6,14.71,1.3,38.562,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,26,97.722,102.8,17.8,85.0,602.2,13.96,1.23,39.992,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,27,97.722,106.0,17.7,88.3,600.9,13.28,1.19,41.403,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,28,97.722,108.9,17.6,91.3,603.8,12.74,1.17,42.784,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,29,97.722,111.7,17.8,93.9,606.1,12.31,1.21,44.009,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,30,97.722,114.4,17.8,96.6,609.7,11.92,1.24,45.228,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,31,97.722,115.7,17.7,98.0,607.3,11.56,1.3,45.845,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,32,97.722,115.6,17.7,97.9,609.2,11.3,1.32,45.86,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,33,97.722,115.5,17.6,97.9,608.7,11.11,1.37,45.836,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,34,97.722,115.5,17.4,98.1,606.0,10.89,1.34,45.82,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,35,97.722,115.5,17.5,98.0,603.3,10.75,1.35,45.822,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
