batch_id,split,anomaly_type
1,train,NONE
2,train,NONE
3,train,NONE
4,train,NONE
5,train,NONE
6,train,COOLING_SPIKE
7,train,NONE
8,train,NONE
9,train,FEED_PAUSE
10,train,NONE
11,train,NONE
12,train,NONE
13,train,NONE
14,train,SURFACE_FOAMING
15,train,NONE
16,train,NONE
17,train,NONE
18,train,NONE
19,train,NONE
20,train,NONE
21,train,NONE
22,train,NONE
23,train,FEED_PAUSE
24,train,NONE
25,train,NONE
26,train,NONE
27,train,SURFACE_FOAMING
28,train,NONE
29,train,SURFACE_FOAMING
30,train,NONE
31,train,NONE
32,train,NONE
33,train,NONE
34,train,NONE
35,train,NONE
36,train,FEED_PAUSE
37,train,NONE
38,train,FEED_PAUSE
39,train,NONE
40,train,NONE
41,train,NONE
42,train,NONE
43,train,NONE
44,train,NONE
45,train,NONE
46,train,NONE
47,train,NONE
48,train,NONE
49,train,NONE
50,train,NONE
51,train,NONE
52,train,NONE
53,train,NONE
54,train,COOLING_SPIKE
55,train,NONE
56,train,NONE
57,train,NONE
58,train,NONE
59,train,NONE
60,train,NONE
61,train,SURFACE_FOAMING
62,train,COOLING_SPIKE
63,train,NONE
64,train,NONE
65,train,NONE
66,train,NONE
67,train,COOLING_SPIKE
68,train,NONE
69,train,NONE
70,train,SURFACE_FOAMING
71,train,NONE
72,train,NONE
73,train,NONE
74,train,NONE
75,train,NONE
76,train,NONE
77,train,NONE
78,train,NONE
79,train,COOLING_SPIKE
80,train,NONE
81,train,NONE
82,train,NONE
83,train,NONE
84,train,NONE
85,test,COOLING_SPIKE
86,test,NONE
87,test,COMPOUND_CASCADE
88,test,NONE
89,test,NONE
90,test,COMPOUND_FOAM_COOLING
91,test,NONE
92,test,COMPOUND_FOAM_COOLING
93,test,SENSOR_DRIFT
94,test,SENSOR_DRIFT
95,test,COMPOUND_FOAM_COOLING
96,test,COMPOUND_CASCADE
97,test,COMPOUND_FOAM_COOLING
98,test,NONE
99,test,NONE
100,test,NONE
101,test,NONE
102,test,NONE
103,test,SENSOR_DRIFT
104,test,SURFACE_FOAMING
105,test,SURFACE_FOAMING
106,test,NONE
107,test,COMPOUND_CASCADE
108,test,COMPOUND_CASCADE
109,test,COMPOUND_FOAM_COOLING
110,test,NONE
111,test,SENSOR_DRIFT
112,test,NONE
113,test,COOLING_SPIKE
114,test,NONE
115,test,FEED_PAUSE
116,test,NONE
117,test,NONE
118,test,COMPOUND_CASCADE
119,test,NONE
120,test,FEED_PAUSE
